tweet id,time of tweet,user id,text,user_id
1.54e+18,2022-07-03 20:23:50+00:00,187944153.0,"@mbathanlm Yhoo 🥺💔

I’m so sorry love",
1.54e+18,2022-07-03 20:23:17+00:00,1.46e+18,@DominicNgeleka Yhoo 😳🤭,
1.54e+18,2022-07-03 20:21:18+00:00,19546277.0,The risky plan to block Russia’s oil revenue https://t.co/okIbvv8Fd1 by @rickjnewman https://t.co/9IyeI1XJmT,
1.54e+18,2022-07-03 20:19:16+00:00,1.38e+18,@SiwaMbara Yhoo this is bad,
1.54e+18,2022-07-03 20:15:51+00:00,4224402807.0,"@madameproducer I’ve been laughing Yhoo🤣🤣 they’re busy consoling themselves la with her Bestie, bathi “vele umuntu ufunda ngokubona..”😭😭🤣🤣🤣",
1.54e+18,2022-07-03 20:14:14+00:00,739900944.0,@eMaleydini Yhoo.. haa a,
1.54e+18,2022-07-03 20:12:16+00:00,19546277.0,Spirit Airlines CEO: JetBlue is being 'childish' with inflammatory rhetoric https://t.co/B3rMYO3IkV by @BrianSozzi https://t.co/0SWSqWMoCk,
1.54e+18,2022-07-03 20:10:51+00:00,17852343.0,Heidi Klum says daughter Leni is moving to N.Y.C. to grow modeling career: 'I'm excited for her'… https://t.co/TYvqImQRru,
1.54e+18,2022-07-03 20:10:51+00:00,7309052.0,New York City Mayor Eric Adams and state Attorney General Letitia James said the so-called ghost guns are sold with… https://t.co/oukeuGpRHL,
1.54e+18,2022-07-03 20:06:10+00:00,19546277.0,"Stocks finish mixed: Dow gains 0.3%, S&amp;P 500 falls 0.1%, Bitcoin fights to hold $20,000 https://t.co/ChDuw6bqGf by… https://t.co/XHZ72gfOyP",
1.54e+18,2022-07-03 20:05:16+00:00,8.1e+17,You know what this is true😭😭😭😭😭😭 there’s nothing that annoys me more than engineers in CIB yhoo😭😭😭😭 https://t.co/2tXnb7Nz7j,
1.54e+18,2022-07-03 20:02:29+00:00,2798623182.0,"K.J. Wright: I love ball, but I don't want to leave my family like I did last year https://t.co/yKWc0HCtSp",
1.54e+18,2022-07-03 20:01:05+00:00,8.29e+17,Owens &amp; Minor Breaks Ground on Center of Excellence for Medical Supply Logistics in #WestVirginia - @YahooFinance… https://t.co/pT507Cud2E,
1.54e+18,2022-07-03 20:00:00+00:00,212715586.0,When did your joke land horribly wrong? https://t.co/CXFUF6wgX7,
1.54e+18,2022-07-03 19:55:42+00:00,204700963.0,"Yhoo Uncle got home drunk today. Usindwa kwa yi tray, ikhaphetshu ihla nge’slevu….

Undenzile ke because that means… https://t.co/l9wC6AFiHt",
1.54e+18,2022-07-03 19:52:56+00:00,59578815.0,"Don't be an optimist when it comes to drafting injured players. 

@andybehrens goes over why you should be cautious… https://t.co/zLMDCqV1OB",
1.54e+18,2022-07-03 19:51:25+00:00,4212836859.0,@Sisipho_Gcanga The yhoo at 7 secs spoke to me🤣,
1.54e+18,2022-07-03 19:50:07+00:00,17852343.0,Cameron Diaz returns to acting for her first role in 8 years: 'I feel excited' https://t.co/G5HaduRpo3 https://t.co/9nBg6qd6tO,
1.54e+18,2022-07-03 19:49:59+00:00,17852343.0,R. Kelly sentenced to 30 years in prison for sex trafficking https://t.co/mVD7KMZYOl https://t.co/Lomyl1V5Dy,
1.54e+18,2022-07-03 19:49:38+00:00,1.19e+18,$CCL is down 14% after Morgan Stanley warns the cruise line operator could lose nearly all its value if demand sees… https://t.co/r2jpGJt8af,
1.54e+18,2022-07-03 19:49:29+00:00,1.53e+18,@MalingaMxoh @DknMohammed @karembeu25 Ramaphosa and Thuba Yhoo,
1.54e+18,2022-07-03 19:49:03+00:00,21320186.0,"Neil Patrick Harris, 49, says he's embracing the 'lines' and 'wrinkles' on his face: 'I honestly feel better than I… https://t.co/63KJvdtOsa",
1.54e+18,2022-07-03 19:44:41+00:00,7309052.0,"Director of National Intelligence Avril Haines, outlining the current U.S. intelligence assessment of the more than… https://t.co/9CMAAJbLuW",
1.54e+18,2022-07-03 19:44:39+00:00,185086500.0,"@mongezisomaza @LithaMak Yhoo, what about those years he already spent inside while waiting for his sentence? Are t… https://t.co/XFEK9ovBzn",
1.54e+18,2022-07-03 19:43:16+00:00,19380829.0,"R. Kelly will go to prison for 30 years for sex trafficking, sexual exploitation of a child, kidnapping and other s… https://t.co/sg8f2YnxpU",
1.54e+18,2022-07-03 19:40:22+00:00,17852343.0,Cameron Diaz to make acting return in Netflix movie with Jamie Foxx: 'I can't frickin wait' https://t.co/rmrGwRqK97 https://t.co/SeBlaS9vdZ,
1.54e+18,2022-07-03 19:39:41+00:00,247239672.0,@A_Cwayitile Yhoo thandaza friend ayikho into eyodlula ukuthandaza,
1.54e+18,2022-07-03 19:36:57+00:00,443129739.0,The Lakers were one of the more disappointing teams last season. That is not stopping bettors from taking them to b… https://t.co/tVhPazAvXI,
1.54e+18,2022-07-03 19:34:01+00:00,8.49e+17,"🤯 The Yahoo DSP allows you to leverage data points from hundreds of millions of customers 🤯 
Our insights help you… https://t.co/E1RxmMhvNB",
1.54e+18,2022-07-03 19:31:13+00:00,19546277.0,"Housing: ‘We’re at a tipping point’ for home prices, economist says https://t.co/s1oP1fRLC0 by @__gabriellacruz https://t.co/6WyJ3BiIiv",
1.54e+18,2022-07-03 19:30:19+00:00,19546277.0,America's tech giants have a new responsibility in the post-Roe world https://t.co/Q7cvTrJpKI by @DanielHowley https://t.co/CTqdxp39if,
1.54e+18,2022-07-03 19:30:00+00:00,327961517.0,$NTRB Revenue growth as company moves AVERSA forward #medtech #opioids #opioidaddiction - https://t.co/cE1LMJTlhI https://t.co/pOjnqr9NTq,
1.54e+18,2022-07-03 19:28:06+00:00,9.69e+17,@Phumza_the_gal 🤣🤣🤣 yhoo we hustling,
1.54e+18,2022-07-03 19:27:26+00:00,21320186.0,Inside Otherland's first-ever store in New York City designed by Sasha Bikoff. https://t.co/6sQ3QYkQIp https://t.co/NBeVNRKeCG,
1.54e+18,2022-07-03 19:23:48+00:00,1.46e+18,@_mashemererwa @loveliftedher @Temini_ 100 % yhoo she's so angry,
1.54e+18,2022-07-03 19:20:05+00:00,185086500.0,"Babymama and babydad, injani co-parenting? Things enizenzayo fighting your battles through a child, mntu athi akazu… https://t.co/RIBeeqxRlK",
1.54e+18,2022-07-03 19:18:23+00:00,3405439294.0,@AlletaNkosi @MaphilaNjabs Asoze! Yhoo! https://t.co/eZnTmWIIM1,
1.54e+18,2022-07-03 19:17:47+00:00,264447392.0,@_nalithemba_ Yhoo 😭😭,
1.54e+18,2022-07-03 19:17:36+00:00,1.47e+18,"@mo4_lo Yhoo best question, after wenzeni uZuma?",
1.54e+18,2022-07-03 19:16:51+00:00,1.38e+18,Yhoo the red one @TeeaMaac pls bless me with one👌👌 https://t.co/w9T0SdO3SR,
1.54e+18,2022-07-03 19:13:01+00:00,125329877.0,"Last week at @CollisionHQ, I interviewed with @alicjawithaj from @YahooFinance on my experience building companies… https://t.co/Wn6FaFETzX",
1.54e+18,2022-07-03 19:12:20+00:00,19546277.0,"Bitcoin fights to stay above $20,000 as Saylor buys another $10 million https://t.co/mPJUJDxOmi by @dshollers https://t.co/9haMgMmsCt",
1.54e+18,2022-07-03 19:12:16+00:00,1.03e+18,@MDNnewss @Lush_Beauty1 Yhoo 💔,
1.54e+18,2022-07-03 19:12:15+00:00,7309052.0,Vice President Kamala Harris’s recent interview with CNN has highlighted frustration with the Democratic leadership… https://t.co/VvblhgVFku,
1.54e+18,2022-07-03 19:12:05+00:00,7.92e+17,Yhoo 😍😍😍😍😍😍😍🥺🥺🥺🥺🥺 https://t.co/jSi1h2Qcp7,
1.54e+18,2022-07-03 19:11:11+00:00,1274741906.0,@Lindiwe83194267 @rainSouthAfrica They need to refund us for those days ehhh they didn’t deliver moes I’m even cons… https://t.co/opUZLmoYTV,
1.54e+18,2022-07-03 19:10:58+00:00,589535810.0,@S_Rakgadi Yhoo 😭😭😭😭😭😭😭,
1.54e+18,2022-07-03 19:10:55+00:00,7309052.0,"“Judaism is in conflict with this law,” Rabbi Barry Silver of Boynton Beach said in an interview, explaining that J… https://t.co/W09aOuhbGS",
1.54e+18,2022-07-03 19:10:05+00:00,1.16e+18,@CallherRoxy ...so invested in the long gone big brother yhoo😂🤪,
1.54e+18,2022-07-03 19:07:31+00:00,2447159837.0,@mpho_R6 Lol 😆 gape le busy yhoo,
1.54e+18,2022-07-03 19:07:13+00:00,1.48e+18,@lenyasalaafrica @Mzansimagic She is so beautiful man yhoo🤩🤩,
1.54e+18,2022-07-03 19:06:49+00:00,7302282.0,"We're beginning our 2022 preseason NFL power rankings with Nos. 25-32 👀

From @YahooSchwab ➡️… https://t.co/fJXhIzOVQg",
1.54e+18,2022-07-03 19:04:56+00:00,434197516.0,Imagine my surprise when I get a message that the battery in my car key is five to dead. Yhoo ha a. Nna I’m tired of this admin.,
1.54e+18,2022-07-03 19:04:08+00:00,1.35e+18,Yhoo https://t.co/FyBbc9iv03,
1.54e+18,2022-07-03 19:02:21+00:00,1.52e+18,"@AdvoBarryRoux 😂😂😂😂 Yhoo, South Africa is a crime scene",
1.54e+18,2022-07-03 19:01:00+00:00,1.26e+18,Owens &amp; Minor Breaks Ground on Center of Excellence for Medical Supply Logistics in #WestVirginia - @YahooFinance… https://t.co/tYvGTFojRu,
1.54e+18,2022-07-03 19:00:05+00:00,494463998.0,@RoundRaychel_ yhoo ke mathata,
1.54e+18,2022-07-03 18:59:23+00:00,8.38e+17,@Nathi_MneshDj 😩😩😩yhoo!!,
1.54e+18,2022-07-03 18:58:14+00:00,1.11e+18,@AliMogashoa @Kegomod03061209 Yhoo o mpolaile shem mxm https://t.co/v4QtojldIQ,
1.54e+18,2022-07-03 18:55:55+00:00,1.15e+18,@siwidipsey Yhoo🤣🤣,
